area_id,area_name,state,district_or_city,area_type,area_latitude,area_longitude,station_id,station_name,station_latitude,station_longitude,distance_metres,sensor_id,pollutant_code,parameter_id,source_unit,sensor_first_utc,sensor_last_utc,source_system,source_url,regulatory_use,evidence_tier
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,12234697,co,102,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,12234699,no2,15,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,14084,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,12234700,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,14085,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,12234701,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,12234702,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,14087,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5509,"Anand Vihar, Delhi - DPCC",28.647622000000002,77.315809,11092.69292188,14519,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5509,"Anand Vihar, Delhi - DPCC",28.647622000000002,77.315809,11092.69292188,14523,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5509,"Anand Vihar, Delhi - DPCC",28.647622000000002,77.315809,11092.69292188,14524,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5509,"Anand Vihar, Delhi - DPCC",28.647622000000002,77.315809,11092.69292188,14522,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5509,"Anand Vihar, Delhi - DPCC",28.647622000000002,77.315809,11092.69292188,14521,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5509,"Anand Vihar, Delhi - DPCC",28.647622000000002,77.315809,11092.69292188,14520,so2,6,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5540,"Punjabi Bagh, Delhi - DPCC",28.6670856,77.1301247,9706.7063029,14616,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
